0.4: 大家好欢迎回到交易之刃
1634.55: 然后科创和5g那么它们走势远远比这强
1639.36: 那么我们要说即使是看沪深300
1641.64: 现在是3900多
1643.44: 大家不看沪指里面银行太多了
1646.96: 沪深300或者创业板你都可以看
1649.12: 就是这个位置上
1650.58: 我问大家一个问题
1651.86: 你这个位置是什么趋势
1653.5: 我们现在A股在什么趋势
1655.86: 这是大家知道弱势市场
1657.6: 大家看弱势市场是不会出现这样的横盘的
1661.9: 横盘大家看就是说撅起来以后
1665.5: 走这样的一个横盘而且是什么
1667.98: 它是一波拉升之后
1670.0: 横盘是要在紫色线上面的这么一个横盘
1674.28: 对吧
1675.45: 我们的线的横盘是不是在紫色线上面
1678.46: 是不是这是一个紫色线上面的横盘
1681.4: 这是不是一个少有的
1683.08: 对于弱势市场中的反转的趋势
1686.23: 你看一个反转我们说一个反弹非常大
1688.83: 都没有任何问题
1689.59: 你这反弹可以反抽反弹得非常大
1692.08: 但真正体验
1693.24: 或者说去评价一个反弹是否强势
1696.28: 就是看它在拉回的过程中
1698.92: 你拉回是能hold成
1701.45: hold不hold得住你hold不住
1703.15: 比如说你这就反弹非常多
1704.71: 大家看你A股难道没有反弹吗
1706.31: 都有反弹
1707.56: 反弹得非常多每次都是直接出溜下去的
1710.28: 没有一次hold得住全都是出溜下去
1712.92: 每次都是应该形成一个向下的中枢
1715.77: 然后就往下出溜
1718.19: 我们这里前面反弹之后
1719.63: 这个地方hold住一定是强势
1721.27: 所以说我这个观点也没有变
1723.83: 对于中国市场的一个配置仍然是看多为主
1726.63: 而且马上不出意外的话
1728.78: 大家看这个地方已经很快就要收缩
1732.96: 这个地方已经要收缩了
1734.2: 收缩之后收缩之后为什么收缩
1737.12: 三三次搞你
1740.42: 都是这个地方三次搞搞三次之后
1743.26: 这个地方在收缩
1744.26: 下一次再出的时候
1746.11: 我跟大家讲95%以上的人一定不在车上
1750.48: 因为在这个过程中
1751.37: 你去看情绪已经都崩溃了
1753.82: 我们这个段子又都出来了
1756.13: 然后各种嘲讽又都来了
1758.05: 那么下一个上场你绝对没机会
1761.4: 这点我非常肯定的
1762.56: 而且一旦形成像fxi
1764.36: 也是一旦形成向上的这么一个走势
1766.96: 它都是不停的直接咚咚咚上去之后
1769.08: 好多人是一看涨的等回调不回调
1772.73: 等最后又回调
1773.69: 说想回调了又跑到上面接
1776.52: 最后就是说这
1777.27: 是我们普通投资者的一个宿命
1779.54: 所以我说港股也好或者说A股也好
1782.14: 在这个位置上仍然是一个强势
1785.36: 好了我们今天跟大家分享到这里
1787.6: 如果大家有兴趣的话
1788.48: 我们来我们的社区
1790.78: 我的两个不同的服务那么一个是公开的
1793.46: 我们有每天的分享
1795.46: 还有就这周的
1796.7: 我们的会员视频
1797.94: 是日内交易三部的第三个战法
1800.38: or30的战法
1802.33: 那么日内交易的三个视频都已经分享过了
1804.77: 那么我们在明年的话
1806.17: 这三个视频就回到我们的网课了
1808.65: 那么另外的话我想跟大家分享的是
1810.61: 我们每天盘前盘后盘中
1813.8: 提供的是分析
1814.89: 还有很多的情绪价值
1816.61: 那么今天这样一段时间我也非常辛苦
1820.29: 安慰完空头安慰多头
1822.1: 这一天我跟大家分享特有意思
1823.94: 就是这个阴线是两头不满意
1826.78: 空头的绝望
1828.39: 多头被套也绝望
1830.15: 所以说这是两边大家都难受
1832.52: 那么我想希望是通过我的分享真诚的分享
1835.84: 那么有价值的分享能帮助你在2025年
1841.21: 也许在2025年你说成功我不知道
1843.25: 但是我们的服务宗旨做的就是口碑
1847.07: 做的就是保护大家的生命财产安全
1850.29: 我说的不是特别夸张
1851.42: 你见过去自杀的吗
1853.29: 你见过离婚的吗
1855.25: 你见过家庭支离破碎的吗
1857.05: 是因为钱金融
1859.16: 为什么
1859.45: 就是因为风险的感知不足
1861.38: 我最后想跟大家说
1864.2: 咱们说锦上添花易雪中送炭难
1867.61: 火上浇油也更容易那爽
1870.81: 放烟花讲牛逼你高兴
1874.1: 但是我想跟大家说
1875.91: 真正愿意为你提示风险的人
1877.52: 要承担多少的痛苦
1879.32: 要承担多少的压力
1880.88: 要承担多少
1883.16: 我希望我的观众
1885.2: 能珍惜我们现在
1887.08: 所拥有的幸福时光
1889.38: 祝大家新年快乐
1890.34: 我们后续会有大量的视频跟大家更新
1893.04: 我们下次再见拜拜
